ន	និង|នៃ|នេះ|នៅ|នៅក្នុង|នឹង
និ	និង|និយាយ|និរន្តរភាព|និន្នាការ|និម្មិត|និយម
និង	និង
ដ	ដែល|ដោយ|ដូចជា|ដើម្បី|ដល់|ដ៏
ដែ	ដែល|ដែរ|ដែន|ដែក|ដែនដី|ដែរ៖
ដែល	ដែល
ម	មាន|មនុស្ស|មិន|មួយ|មក|ម្នាក់
មា	មាន|មានអារម្មណ៍|មាត្រដ្ឋាន|មាត្រ|មាតិកា|មាត់
មាន	មាន|មានអារម្មណ៍|មាន់|មាន៖|មានអាហារ|មានអាសន្ន
រ	របស់|របៀប|រូប|រួម|រវាង|រួមបញ្ចូល
រប	របស់|របៀប|របប|របាំ|របកគំហើញ|របួស
របស	របស់|របស់របរ|របស់របរបាន
របស់	របស់|របស់របរ|របស់របរបាន
នៃ	នៃ
ក	ក្នុង|កាន់តែ|ការយល់ដឹង|ក៏|ការងារ|កំណត់
ក្	ក្នុង|ក្រុម|ក្លាយជា|ក្រុមហ៊ុន|ក្រមសីលធម៌|ក្រោយ
ក្ន	ក្នុង|ក្នុង៖
ក្នុ	ក្នុង|ក្នុង៖
ក្នុង	ក្នុង|ក្នុង៖
អ	អាច|អ្នក|អំពី|អាហារ|អ្វី|អារម្មណ៍
អា	អាច|អាហារ|អារម្មណ៍|អាជីវកម្ម|អាកាសធាតុ|អាកប្បកិរិយា
អាច	អាច|អាចនឹង|អាច៖|អាចារ្យ|អាចម៍ផ្កាយ|អាចនឹក
យ	យើង|យ៉ាង|យល់|យ៉ាងណា|យុទ្ធសាស្ត្រ|យុត្តិធម៌
យើ	យើង|យើង៖|យើ|យើងខ្ញុំ
យើង	យើង|យើង៖|យើងខ្ញុំ
វ	វា|វប្បធម៌|វិញ|វិទ្យាសាស្ត្រ|វិស័យ|វិធី
វា	វា|វាយតម្លៃ|វាល|វាយ|វាស់វែង|វាសម
នេ	នេះ|នេះ៖|នេសាទ|នេប៉ាល់|នេអ៊ែរ
នេះ	នេះ|នេះ៖
ៗ	ៗ|ៗ៖
ជ	ជា|ជីវិត|ជួយ|ជាមួយ|ជាច្រើន|ជំរុញ
ជា	ជា|ជាមួយ|ជាច្រើន|ជាមួយនឹង|ជាង|ជាក់លាក់
ប	បាន|បុគ្គល|បញ្ហា|បង្កើត|ប្រកបដោយ|ប្រចាំ
បា	បាន|បាទ|បាល់ទាត់|បាតុភូត|បាល់|បានជា
